date,open,high,low,close,adj_close,volume
1/22/2020,80.900002,80.900002,80.900002,80.900002,80.892471,0
1/23/2020,81.040001,81.040001,81.040001,81.040001,81.032455,0
1/24/2020,80.599998,80.599998,80.599998,80.599998,80.592491,0
1/27/2020,79.349998,79.349998,79.349998,79.349998,79.342613,0
1/28/2020,80.330002,80.330002,80.330002,80.330002,80.322525,0
1/29/2020,80.400002,80.400002,80.400002,80.400002,80.392517,0
1/30/2020,80.910004,80.910004,80.910004,80.910004,80.902473,0
1/31/2020,79.050003,79.050003,79.050003,79.050003,79.042641,0
2/3/2020,80.410004,80.410004,80.410004,80.410004,80.402519,0
2/4/2020,81.720001,81.720001,81.720001,81.720001,81.712395,0
2/5/2020,81.540001,81.540001,81.540001,81.540001,81.53241,0
2/6/2020,81.849998,81.849998,81.849998,81.849998,81.842377,0
2/7/2020,81.239998,81.239998,81.239998,81.239998,81.232437,0
2/10/2020,82.089996,82.089996,82.089996,82.089996,82.082352,0
2/11/2020,81.68,81.68,81.68,81.68,81.672394,0
2/12/2020,82.110001,82.110001,82.110001,82.110001,82.102356,0
2/13/2020,82.800003,82.800003,82.800003,82.800003,82.792297,0
2/14/2020,83.860001,83.860001,83.860001,83.860001,83.852196,0
2/18/2020,83.93,83.93,83.93,83.93,83.922188,0
2/19/2020,84.510002,84.510002,84.510002,84.510002,84.502136,0
2/20/2020,84.110001,84.110001,84.110001,84.110001,84.102173,0
2/21/2020,82.970001,82.970001,82.970001,82.970001,82.96228,0
2/24/2020,80.129997,80.129997,80.129997,80.129997,80.122536,0
2/25/2020,76.57,76.57,76.57,76.57,76.562874,0
2/26/2020,76.089996,76.089996,76.089996,76.089996,76.082909,0
2/27/2020,73.480003,73.480003,73.480003,73.480003,73.47316,0
2/28/2020,73.650002,73.650002,73.650002,73.650002,73.643143,0
3/2/2020,76.830002,76.830002,76.830002,76.830002,76.822845,0
3/3/2020,74.260002,74.260002,74.260002,74.260002,74.25309,0
3/4/2020,76.940002,76.940002,76.940002,76.940002,76.932838,0
3/5/2020,74.379997,74.379997,74.379997,74.379997,74.37307,0
3/6/2020,72.980003,72.980003,72.980003,72.980003,72.973206,0
3/9/2020,67.580002,67.580002,67.580002,67.580002,67.573708,0
3/10/2020,71.639999,71.639999,71.639999,71.639999,71.633331,0
3/11/2020,68.330002,68.330002,68.330002,68.330002,68.323639,0
3/12/2020,61.880001,61.880001,61.880001,61.880001,61.874241,0
3/13/2020,67.57,67.57,67.57,67.57,67.563705,0
3/16/2020,58.450001,58.450001,58.450001,58.450001,58.444557,0
3/17/2020,60.849998,60.849998,60.849998,60.849998,60.844334,0
3/18/2020,56.98,56.98,56.98,56.98,56.974693,0
3/19/2020,57.610001,57.610001,57.610001,57.610001,57.604637,0
3/20/2020,55.27,55.27,55.27,55.27,55.264854,0
3/23/2020,53.580002,53.580002,53.580002,53.580002,53.575012,0
3/24/2020,60.490002,60.490002,60.490002,60.490002,60.484371,0
3/25/2020,62.599998,62.599998,62.599998,62.599998,62.59417,0
3/26/2020,65.660004,65.660004,65.660004,65.660004,65.653893,0
3/27/2020,62.880001,62.880001,62.880001,62.880001,62.874146,0
3/30/2020,64.870003,64.870003,64.870003,64.870003,64.86396,0
3/31/2020,63.049999,63.049999,63.049999,63.049999,63.044128,0
4/1/2020,59.619999,59.619999,59.619999,59.619999,59.614449,0
4/2/2020,60.84,60.84,60.84,60.84,60.834335,0
4/3/2020,59.290001,59.290001,59.290001,59.290001,59.284481,0
4/6/2020,65.099998,65.099998,65.099998,65.099998,65.093941,0
4/7/2020,64.440002,64.440002,64.440002,64.440002,64.434006,0
4/8/2020,66.559998,66.559998,66.559998,66.559998,66.559998,0
4/9/2020,67.099998,67.099998,67.099998,67.099998,67.099998,0
4/13/2020,66.059998,66.059998,66.059998,66.059998,66.059998,0
4/14/2020,67.760002,67.760002,67.760002,67.760002,67.760002,0
4/15/2020,65.510002,65.510002,65.510002,65.510002,65.510002,0
4/16/2020,64.989998,64.989998,64.989998,64.989998,64.989998,0
4/17/2020,67.809998,67.809998,67.809998,67.809998,67.809998,0
4/20/2020,66.480003,66.480003,66.480003,66.480003,66.480003,0
4/21/2020,64.260002,64.260002,64.260002,64.260002,64.260002,0
4/22/2020,66.580002,66.580002,66.580002,66.580002,66.580002,0
4/23/2020,66.610001,66.610001,66.610001,66.610001,66.610001,0
4/24/2020,67.739998,67.739998,67.739998,67.739998,67.739998,0
4/27/2020,69.120003,69.120003,69.120003,69.120003,69.120003,0
4/28/2020,68.910004,68.910004,68.910004,68.910004,68.910004,0
4/29/2020,72.169998,72.169998,72.169998,72.169998,72.169998,0
4/30/2020,71.019997,71.019997,71.019997,71.019997,71.019997,0
5/1/2020,69.389999,69.389999,69.389999,69.389999,69.389999,0
5/4/2020,69.860001,69.860001,69.860001,69.860001,69.860001,0
5/5/2020,71.010002,71.010002,71.010002,71.010002,71.010002,0
5/6/2020,71.349998,71.349998,71.349998,71.349998,71.349998,0
5/7/2020,73.639999,73.639999,73.639999,73.639999,73.639999,0
5/8/2020,74.050003,74.050003,74.050003,74.050003,74.050003,0
5/11/2020,73.690002,73.690002,73.690002,73.690002,73.690002,0
5/12/2020,72.230003,72.230003,72.230003,72.230003,72.230003,0
5/13/2020,71.18,71.18,71.18,71.18,71.18,0
5/14/2020,72.139999,72.139999,72.139999,72.139999,72.139999,0
5/15/2020,72.809998,72.809998,72.809998,72.809998,72.809998,0
5/18/2020,75.019997,75.019997,75.019997,75.019997,75.019997,0
5/19/2020,74.580002,74.580002,74.580002,74.580002,74.580002,0
5/20/2020,76.260002,76.260002,76.260002,76.260002,76.260002,0
5/21/2020,75.279999,75.279999,75.279999,75.279999,75.279999,0
5/22/2020,75.709999,75.709999,75.709999,75.709999,75.709999,0
5/26/2020,76.610001,76.610001,76.610001,76.610001,76.610001,0
5/27/2020,76.82,76.82,76.82,76.82,76.82,0
5/28/2020,77.220001,77.220001,77.220001,77.220001,77.220001,0
5/29/2020,77.849998,77.849998,77.849998,77.849998,77.849998,0
6/1/2020,78.110001,78.110001,78.110001,78.110001,78.110001,0
6/2/2020,78.870003,78.870003,78.870003,78.870003,78.870003,0
6/3/2020,79.650002,79.650002,79.650002,79.650002,79.650002,0
6/4/2020,78.260002,78.260002,78.260002,78.260002,78.260002,0
6/5/2020,80.400002,80.400002,80.400002,80.400002,80.400002,0
6/8/2020,80.589996,80.589996,80.589996,80.589996,80.589996,0
6/9/2020,80.010002,80.010002,80.010002,80.010002,80.010002,0
6/10/2020,80.330002,80.330002,80.330002,80.330002,80.330002,0
6/11/2020,75.57,75.57,75.57,75.57,75.57,0
6/12/2020,76.919998,76.919998,76.919998,76.919998,76.919998,0
6/15/2020,77.330002,77.330002,77.330002,77.330002,77.330002,0
6/16/2020,78.800003,78.800003,78.800003,78.800003,78.800003,0
6/17/2020,78.900002,78.900002,78.900002,78.900002,78.900002,0
6/18/2020,79.290001,79.290001,79.290001,79.290001,79.290001,0
6/19/2020,78.050003,78.050003,78.050003,78.050003,78.050003,0
6/22/2020,79.459999,79.459999,79.459999,79.459999,79.459999,0
6/23/2020,80.010002,80.010002,80.010002,80.010002,80.010002,0
6/24/2020,77.150002,77.150002,77.150002,77.150002,77.150002,0
6/25/2020,78.239998,78.239998,78.239998,78.239998,78.239998,0
6/26/2020,76.760002,76.760002,76.760002,76.760002,76.760002,0
6/29/2020,77.300003,77.300003,77.300003,77.300003,77.300003,0
6/30/2020,78.529999,78.529999,78.529999,78.529999,78.529999,0
7/1/2020,79.449997,79.449997,79.449997,79.449997,79.449997,0
7/2/2020,79.629997,79.629997,79.629997,79.629997,79.629997,0
7/6/2020,80.110001,80.110001,80.110001,80.110001,80.110001,0
7/7/2020,79.139999,79.139999,79.139999,79.139999,79.139999,0
7/8/2020,79.949997,79.949997,79.949997,79.949997,79.949997,0
7/9/2020,79.220001,79.220001,79.220001,79.220001,79.220001,0
7/10/2020,79.389999,79.389999,79.389999,79.389999,79.389999,0
7/13/2020,77.620003,77.620003,77.620003,77.620003,77.620003,0
7/14/2020,78.620003,78.620003,78.620003,78.620003,78.620003,0
7/15/2020,80.150002,80.150002,80.150002,80.150002,80.150002,0
7/16/2020,79.309998,79.309998,79.309998,79.309998,79.309998,0
7/17/2020,80.5,80.5,80.5,80.5,80.5,0
7/20/2020,82.190002,82.190002,82.190002,82.190002,82.190002,0
7/21/2020,81.599998,81.599998,81.599998,81.599998,81.599998,0
7/22/2020,82.489998,82.489998,82.489998,82.489998,82.489998,0
7/23/2020,81.610001,81.610001,81.610001,81.610001,81.610001,0
7/24/2020,80.790001,80.790001,80.790001,80.790001,80.790001,0
7/27/2020,81.690002,81.690002,81.690002,81.690002,81.690002,0
7/28/2020,81.080002,81.080002,81.080002,81.080002,81.080002,0
7/29/2020,82.519997,82.519997,82.519997,82.519997,82.519997,0
7/30/2020,82.529999,82.529999,82.529999,82.529999,82.529999,0
7/31/2020,82.730003,82.730003,82.730003,82.730003,82.730003,0
8/3/2020,83.709999,83.709999,83.709999,83.709999,83.709999,0
8/4/2020,83.830002,83.830002,83.830002,83.830002,83.830002,0
8/5/2020,85.190002,85.190002,85.190002,85.190002,85.190002,0
8/6/2020,85.900002,85.900002,85.900002,85.900002,85.900002,0
8/7/2020,85.199997,85.199997,85.199997,85.199997,85.199997,0
8/10/2020,84.410004,84.410004,84.410004,84.410004,84.410004,0
8/11/2020,84.220001,84.220001,84.220001,84.220001,84.220001,0
8/12/2020,84.599998,84.599998,84.599998,84.599998,84.599998,0
8/13/2020,84.860001,84.860001,84.860001,84.860001,84.860001,0
8/14/2020,84.589996,84.589996,84.589996,84.589996,84.589996,0
8/17/2020,85.489998,85.489998,85.489998,85.489998,85.489998,0
8/18/2020,85.559998,85.559998,85.559998,85.559998,85.559998,0
8/19/2020,85.419998,85.419998,85.419998,85.419998,85.419998,0
